,edition,count,frequency
311,regular edition: unknown [this ex.]; plus deluxe edition of 80 (with supplementary portfolio of three prints issued hors text),1,0.00020721094073767094
312,183,1,0.00020721094073767094
313,"1,100 (including 100 with film)",1,0.00020721094073767094
314,artist's proof before the edition of 25,1,0.00020721094073767094
315,reserve copy outside the edition of 200,1,0.00020721094073767094
316,525,1,0.00020721094073767094
317,"c. 3,000",1,0.00020721094073767094
318,"3,000-5,000",1,0.00020721094073767094
319,book: 100 (10 numbered 1-10 on hahnemühle with supplementary suite; 80 numbered 11-90 on hahnemühle; 10 h.c. numbered i-x on hahnemühle reserved for collaborators); additional printings of each plate: 25 (numbered 11-35 on moulin de larroque,1,0.00020721094073767094
320,750 (50 numbered 1-50 with supplementary suite; 700 numbered 51-750),1,0.00020721094073767094
321,46,1,0.00020721094073767094
322,"1,000 (125 hand-colored)",1,0.00020721094073767094
323,400 (45 numbered 1-45 with lithograph; 5 numbered i-v with lithograph; 335 numbered 46-380; 15 numbered vi-xx),1,0.00020721094073767094
324,550 (50 numbered 1-50 with aquatints; 500),1,0.00020721094073767094
325,125 (100 numbered 1/100-100/100; 25 h.c.),1,0.00020721094073767094
326,"600 (including deluxe edition of 100, numbered 1-100, with a drypoint by max beckmann; and a regular edition of 500 [this ex.]); outside the book: 30; plus 6 known proofs of state i",1,0.00020721094073767094
327,"editions: 5,000",1,0.00020721094073767094
328,"125 (1 numbered 1 with 2 supplementary suites, manuscript and cancelled plate; 9 numbered 2-10 with 2 supplementary suites and cancelled plate; 10 numbered 11-20 with supplementary suite; 80 numbered 21-100; 25 h.c. numbered i-xxv reserved for collaborators)",1,0.00020721094073767094
329,"125 (1 numbered 1 with supplementary manuscripts by breton and duchamp, collage by baj, rejected print, cancelled plate, and suite; 10 numbered 2-11 with supplementary rejected print, cancelled plate, and suite; 89 numbered 12-100; 25 h.c. numbered i-xxv reserved for collaborators and deposit copy)",1,0.00020721094073767094
330,140,1,0.00020721094073767094
331,"150
(35 numbered 1-35 with supplementary suite; 90 numbered 36-125; 15 h.c. numbered i-xv reserved for artist and author; 10 h.c. marked a-j)",1,0.00020721094073767094
332,130 (25 numbered 1-25 with supplementary suite; 75 numbered 26-100; 30 h.c. numbered i-xxx reserved for collaborators),1,0.00020721094073767094
333,"12,100",1,0.00020721094073767094
334,10 (numbered 1/10-10/10),1,0.00020721094073767094
335,"2,000-3,000",1,0.00020721094073767094
336,"100,250",1,0.00020721094073767094
337,50 (numbered 1/50 - 50/50),1,0.00020721094073767094
338,100-150,1,0.00020721094073767094
339,213,1,0.00020721094073767094
340,6 known examples,1,0.00020721094073767094
341,186,1,0.00020721094073767094
342,30 (numbered 1-30),1,0.00020721094073767094
343,225 (175 numbered 1/175-175/175 on arches; 50 h.c. numbered i/l-l/l on inomachi reserved for museums and collaborators),1,0.00020721094073767094
344,25 a.p. (numbered 1-25),1,0.00020721094073767094
345,28,1,0.00020721094073767094
346,200 (numbered 1/200-200/200),1,0.00020721094073767094
347,unknown (5 known examples),1,0.00020721094073767094
348,2000 (numbered 1-2000),1,0.00020721094073767094
349,3126 (100 numbered 1/100-100/100 with relief print; 26 marked a-z with relief print; 3000 unnumbered copies),1,0.00020721094073767094
350,116 (100 numbered 1/100-100/100; 13 p.a. numbered i-xiii reserved for artists; 3 archive copies),1,0.00020721094073767094
351,500 (100 with hand additions),1,0.00020721094073767094
352,80 (60 numbered 1-60; 10 h.c. numbered i-x; 10 a.p.),1,0.00020721094073767094
353,125 (numbered 1/125-125/125 with portfolio of prints),1,0.00020721094073767094
354,"states i and ii: approx. 20; state iii: periodical: popular edition (""volksausgabe""): unknown (approx. 1000-2000) [this ex.]; plus deluxe edition of 75 on ""van gelder zonen bütten"" paper; single print, hand-printed on the pan-press: 12, signed, on japan paper, before the periodical edition; 50, signed, on ""bütten"" paper, after the periodical edition",1,0.00020721094073767094
355,32+ (30 numbered 1-30; 2 named copies; several h.c. reserved for collaborators and friends),1,0.00020721094073767094
356,"9,000",1,0.00020721094073767094
357,2626 (100 numbered 1-100 with etching; 26 h.c. marked a-z reserved for friends of artist and publisher with etching; 2500 numbered 101-2600),1,0.00020721094073767094
358,112 (100 numbered 1-100; 10 named copies; 2 h.c. deposit copies),1,0.00020721094073767094
359,650 (100 numbered 1-100 on japan; 500 numbered 101-600 on van gelder; 50 h.c.),1,0.00020721094073767094
360,"5,150",1,0.00020721094073767094
361,1000 (numbered 1-1000),1,0.00020721094073767094
362,85 (10 numbered 1-10 with 2 supplementary suites; 15 numbered 11-25 with supplementary suite; 45 numbered 26-70; 15 h.c. marked a-o reserved for collaborators and deposit copies),1,0.00020721094073767094
363,60 (50 numbered 1/50-50/50; 10 h.c. numbered i-x),1,0.00020721094073767094
364,112,1,0.00020721094073767094
365,44 (35 numbered i/xxxv-xxxv/xxxv; 6 a.p.; 3 p.p.),1,0.00020721094073767094
366,200 (30 numbered 1-30 with supplementary suite; 150 numbered 31-180; 18 printers' copies numbered i-xviii; 2 h.c. deposit copies marked 0 and 00),1,0.00020721094073767094
