,medium,count,frequency
509,ink on illustration board,3,0.00024140983342721493
510,illustrated book with four lithographs,3,0.00024140983342721493
511,pamphlet with letterpress cover,3,0.00024140983342721493
512,"etching and aquatint from an illustrated book with 14 etchings (six with aquatint, four with engraving, one with drypoint), two aquatints, two engravings, two drypoints, and one photogravure",3,0.00024140983342721493
513,synthetic raffia,3,0.00024140983342721493
514,tennessee aromatic red cedar and staples,3,0.00024140983342721493
515,etching and aquatint from an illustrated book with five etching and aquatints (including wrapper with watercolor and gouache additions),3,0.00024140983342721493
516,portfolio of twelve lithographs,3,0.00024140983342721493
517,fifteen lithographs,3,0.00024140983342721493
518,hand press,3,0.00024140983342721493
519,olive wood with ash panels,3,0.00024140983342721493
520,unglazed bizenware,3,0.00024140983342721493
521,artist's book with thirty-four pages stained with mud and water from the river avon,3,0.00024140983342721493
522,etching from a portfolio with nine etchings (four with aquatint and engraving and one with drypoint) and one engraving,3,0.00024140983342721493
523,"wood, painted metal and rope",3,0.00024140983342721493
524,handwrought silver,3,0.00024140983342721493
525,abs plastic and other materials,3,0.00024140983342721493
526,wood-cut and letterpress,3,0.00024140983342721493
527,anodized aluminum,3,0.00024140983342721493
528,cut-and-pasted gelatin silver photograph on gelatin silver photograph,3,0.00024140983342721493
529,grease pencil on tracing paper,3,0.00024140983342721493
530,"fiberglass, leather, and metal",3,0.00024140983342721493
531,folder containing nine collotype reproductions of manuscript notes,3,0.00024140983342721493
532,plastic-coated metal,3,0.00024140983342721493
533,black styrene and optical glass,3,0.00024140983342721493
534,woodcut from an illustrated book with ten lithographs and two woodcuts,3,0.00024140983342721493
535,shigaraki-ware,3,0.00024140983342721493
536,"illustrated book with four etchings, one with drypoint",3,0.00024140983342721493
537,illustrated book with ten soft ground etchings,3,0.00024140983342721493
538,"journal, photogravure printed with photogravure and lithograph cover",3,0.00024140983342721493
539,pen and ink,3,0.00024140983342721493
540,illustrated book with ninety-one lithographs,3,0.00024140983342721493
541,"cellophane, rayon, and cotton",3,0.00024140983342721493
542,upholstered latex foam on fiberglass-reinforced plastic shell and chrome-plated steel rod base,3,0.00024140983342721493
543,ink and dot pattern on illustration board,3,0.00024140983342721493
544,"collage, graphite, marker, and ink on brown print",3,0.00024140983342721493
545,unglazed porcelain,3,0.00024140983342721493
546,"wool, silk, and cotton",3,0.00024140983342721493
547,monograph with reproductions and one lithograph,3,0.00024140983342721493
548,"graphite, ink, cut-and-pasted papers, and cut-and-pasted photoreproductions on illustration board",3,0.00024140983342721493
549,book with 17 lithographs (including cover) and lithographed manuscript text,3,0.00024140983342721493
550,illustrated book with aquatint,3,0.00024140983342721493
551,die-cast zinc and synthesized material housing and cast aluminum base,3,0.00024140983342721493
552,wood and acrylic,3,0.00024140983342721493
553,"ink, colored ink, and graphite on paper",3,0.00024140983342721493
554,injection-molded polycarbonate-polyester blend,3,0.00024140983342721493
555,one from an illustrated book with three woodcuts,3,0.00024140983342721493
556,illustrated book with one pochoir,3,0.00024140983342721493
557,letterpress book,3,0.00024140983342721493
558,illustrated book with one etching and reproductions of prints,3,0.00024140983342721493
559,"copper (84%), promix (tm) (16%)",3,0.00024140983342721493
560,"engraving from an illustrated book with nine etchings (two with aquatint, one with aquatint and drypoint), two engravings, one aquatint, one drypoint, and one woodcut",3,0.00024140983342721493
561,"engraving from an illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut",3,0.00024140983342721493
562,ink and sienna wash on paper,3,0.00024140983342721493
563,wood and leather,3,0.00024140983342721493
564,lithograph and photolithograph,3,0.00024140983342721493
565,illustrated book with thirteen screenprints,3,0.00024140983342721493
566,illustrated book with six drypoints,3,0.00024140983342721493
567,polyester resin and steel,3,0.00024140983342721493
568,illustrated book with 28 lithographs and lithographed manuscript text (including cover),3,0.00024140983342721493
569,lithograph from an illustrated book with twenty-two lithographs and lithographed manuscript texts,3,0.00024140983342721493
570,illustrated book with fifty-six woodcuts,3,0.00024140983342721493
571,woodcut from an illustrated book with thirteen woodcuts,3,0.00024140983342721493
572,"journal, lithograph and letterpress printed",3,0.00024140983342721493
573,"painted metal, wood, and plastic",3,0.00024140983342721493
574,"portfolio with 9 compositions: 9 drypoints, 1 with monoprinting and embossing, plus 1 with roulette",3,0.00024140983342721493
575,aluminum and phenolic plastic,3,0.00024140983342721493
576,pencil and colored pencil on illustration board,3,0.00024140983342721493
577,resin-coated aluminum and plastic,3,0.00024140983342721493
578,cast-injected abs polymer casing,3,0.00024140983342721493
579,steam-bent beechwood and cane,3,0.00024140983342721493
580,"etching from an illustrated book with nine etchings (two with aquatint, one with aquatint and drypoint), two engravings, one aquatint, one drypoint, and one woodcut",3,0.00024140983342721493
581,"copper wiring, ferrite, and plastic",3,0.00024140983342721493
582,"paper, wood, metal, and bamboo",3,0.00024140983342721493
583,watercolor on paper,3,0.00024140983342721493
584,hand-wrought pewter,3,0.00024140983342721493
585,wood and acrylic with metal balls,3,0.00024140983342721493
586,"illustrated book, letterpress printed",3,0.00024140983342721493
587,book with carbon-copied and pencil manuscript text and designs and one pencil illustration,3,0.00024140983342721493
588,graphite on gampi paper,3,0.00024140983342721493
589,"unglazed, wood-fired stoneware",3,0.00024140983342721493
590,"etching and drypoint from an illustrated book with twelve etchings (two with aquatint, two with drypoint, one with aquatint and drypoint) and one drypoint",3,0.00024140983342721493
591,illustrated book with nine screenprints,3,0.00024140983342721493
592,offset lithograph and gelatin silver print,3,0.00024140983342721493
593,melamine resin,3,0.00024140983342721493
594,cover: embossing; interior: letterpress,3,0.00024140983342721493
595,offset lithograph and offset photolithograph,3,0.00024140983342721493
596,"etching from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object",3,0.00024140983342721493
597,book with three lithographed illustrations and letterpress typographic design,3,0.00024140983342721493
598,portfolio of twenty-eight lithographs (including front and back covers),3,0.00024140983342721493
599,"screenprint from an illustrated book with suite of three screenprints, two offset lithographs, and one etching",3,0.00024140983342721493
600,plastic and metal casing,3,0.00024140983342721493
601,"etching and aquatint from a portfolio of twenty-four aquatints (including wrapper and variant print) (five with etching, two with engraving, two with drypoint, and one with pastel additions) and one etching",3,0.00024140983342721493
602,brass and nickel-plated brass,3,0.00024140983342721493
603,"illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut",3,0.00024140983342721493
604,illustrated book,3,0.00024140983342721493
605,illustrated book with 24 drypoints and 1 woodcut (front cover),3,0.00024140983342721493
606,illustrated books with photolithographic reproductions,3,0.00024140983342721493
607,beechwood and teak plywood,3,0.00024140983342721493
608,pencil and airbrush on board,3,0.00024140983342721493
609,line block from a book with 15 photomechanical reproductions,3,0.00024140983342721493
610,graphite on rice paper,3,0.00024140983342721493
611,white abs polymer and rubber,3,0.00024140983342721493
612,illustrated book with 12 collages,3,0.00024140983342721493
613,lithograph from an illustrated book with eleven lithographs (including front cover),3,0.00024140983342721493
614,illustrated book with 8 transfer lithographs; and line block reproduction after lithograph,3,0.00024140983342721493
615,3 screenprints,3,0.00024140983342721493
616,graphite and crayon on tracing paper,3,0.00024140983342721493
617,two etchings on one sheet,3,0.00024140983342721493
618,lacquered wood,3,0.00024140983342721493
619,offset lithograph and letterpress,3,0.00024140983342721493
620,painted molded plywood and beechwood,3,0.00024140983342721493
621,1 drypoint,3,0.00024140983342721493
622,aluminum alloy,3,0.00024140983342721493
623,book with three letterpress illustrations and cover with letterpress typographic design on wallpaper,3,0.00024140983342721493
624,engraving from an illustrated book with six engravings (four with etching) and one blind embossing,3,0.00024140983342721493
625,".1: walnut and birch plywood 
.2: birch plywood",3,0.00024140983342721493
626,"offset lithograph from an illustrated book with eight collotypes (one with embossing and stamp additions), three offset lithographs (one with mylar overlay), two collotype and offset lithographs (one with stamp additions, one with crayon additions), and two drawings",3,0.00024140983342721493
627,linen and cellophane,3,0.00024140983342721493
628,illustrated book with 20 lithographs (9 with screenprint and 2 with relief stamping),3,0.00024140983342721493
629,cut-out photographs and photo reproductions on illustration board,3,0.00024140983342721493
630,thermoplastic resin and abs polymer,3,0.00024140983342721493
631,plastic and steel casing,3,0.00024140983342721493
632,"ink, graphite, and color pencil on paper",3,0.00024140983342721493
633,polyurethane resin,3,0.00024140983342721493
634,"crayon drawing from an illustrated book with eight collotypes (one with embossing and stamp additions), three offset lithographs (one with mylar overlay), two collotype and offset lithographs (one with stamp additions, one with crayon additions), and two drawings",3,0.00024140983342721493
635,"cotton, wool, and rayon",3,0.00024140983342721493
636,pencil on board,3,0.00024140983342721493
637,lithograph of gouache original,3,0.00024140983342721493
638,unpainted wood,3,0.00024140983342721493
639,gelatin silver print with hand-painted letters,3,0.00024140983342721493
640,"steel, nickel, aluminum, and enamel",3,0.00024140983342721493
641,"book with 16 lithographs, three letterpress illustrations, and two etchings",3,0.00024140983342721493
642,"engraving and aquatint with roulette from an illustrated book with eight engravings (including slipcase, one with etching, one with aquatint and roulette), one drypoint, and one etching",3,0.00024140983342721493
643,aquatint from an illustrated book with 12 aquatints (nine with etching),3,0.00024140983342721493
644,"aluminum die-cast cabinet, plastic casing, and audio components",3,0.00024140983342721493
645,"chrome-plated tubular steel, sheet steel, and glass",3,0.00024140983342721493
646,"watercolor, colored ink, and pencil on paper",3,0.00024140983342721493
647,silk shade and bamboo stand,3,0.00024140983342721493
648,color electrostatic print mounted on board,3,0.00024140983342721493
649,illustrated book with eight double-page line block reproductions,3,0.00024140983342721493
650,illustrated book with five linoleum cuts,3,0.00024140983342721493
651,"aluminum, steel, and rubber",3,0.00024140983342721493
652,epoxy-coated stainless steel,3,0.00024140983342721493
653,"eight lithographs with stencil, one lithograph, and two mounted color photographs",3,0.00024140983342721493
654,ink on colored paper,3,0.00024140983342721493
655,painted steel,3,0.00024140983342721493
656,charcoal on paper,3,0.00024140983342721493
657,acrylic and mirror glass,3,0.00024140983342721493
658,chrome-plated steel and glass,3,0.00024140983342721493
659,ink and ink stamp on tracing paper,3,0.00024140983342721493
660,stainless steel and plastic,3,0.00024140983342721493
661,lacquered white oak and steel,3,0.00024140983342721493
662,"woodcut from an illustrated book with four woodcuts, four linoleum cuts, and two lithographs",3,0.00024140983342721493
663,book with fifteen letterpress illustrations (including cover),3,0.00024140983342721493
664,wrought iron,3,0.00024140983342721493
665,"illustrated book with nine screenprints (one with lithograph), eight lithographs, and stainless steel cover with digital clock",3,0.00024140983342721493
666,illustrated book with seven woodcuts,3,0.00024140983342721493
667,"lithograph from an illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut",3,0.00024140983342721493
668,"illustrated book with 12 etching, aquatint, and engravings",3,0.00024140983342721493
669,etching and drypoint from an illustrated book with three drypoints (two with etching),3,0.00024140983342721493
670,wood and linoleum,3,0.00024140983342721493
671,ebonized wood,3,0.00024140983342721493
672,"bent chromed tubular steel, wood, and cane",3,0.00024140983342721493
673,tulipwood,3,0.00024140983342721493
674,molded plywood,3,0.00024140983342721493
675,illustrated book with one line block reproduction after drawing,3,0.00024140983342721493
676,heat-resistant glass,3,0.00024140983342721493
677,wood-fired stoneware,3,0.00024140983342721493
678,walnut and cherry,3,0.00024140983342721493
679,stainless steel and clear polycarbonate,3,0.00024140983342721493
680,illustrated book with 51 linoleum cuts (including wrapper),3,0.00024140983342721493
681,"folder containing sixteen collotype reproductions of manuscript notes, one with pin",3,0.00024140983342721493
682,metal and plastic,3,0.00024140983342721493
683,illustrated book with 34 lithographs,3,0.00024140983342721493
684,wool and linen,3,0.00024140983342721493
685,"illustrated book with twenty-seven lithographs, lithographed manuscript text, rubber-stamped text, and collaged cover",3,0.00024140983342721493
686,purple construction paper cover with letterpress text mounted on gold foil mounted on front,3,0.00024140983342721493
687,lithograph from an illustrated book with four lithographs,3,0.00024140983342721493
688,enameled copper,3,0.00024140983342721493
689,illustrated book with seven lithographs,3,0.00024140983342721493
690,enameled steel,3,0.00024140983342721493
691,"laminated aluminum, plastic, plywood, and steel",3,0.00024140983342721493
692,"gold plated metal, ivory, and gold",3,0.00024140983342721493
693,color lithograph,3,0.00024140983342721493
694,turn mold-blown glass,3,0.00024140983342721493
695,"graphite, crayon, and color crayon on tracing paper",3,0.00024140983342721493
696,die-cast aluminum casing,3,0.00024140983342721493
697,"illustrated book with five etchings (three with aquatint and lithograph, one with aquatint and roulette, one with lithograph)",3,0.00024140983342721493
698,illustrated book with ninty-six etchings,3,0.00024140983342721493
699,"cellophane, wool, and cotton",3,0.00024140983342721493
700,book of musical scores with twenty lithographs (including wrapper front),3,0.00024140983342721493
701,ink and transfer on tracing paper,3,0.00024140983342721493
702,stainless steel with wooden handles,3,0.00024140983342721493
703,cut-and-pasted photolithographs and gelatin photograph on paper,2,0.0001609398889514766
704,plastic coated slotted cards,2,0.0001609398889514766
705,book with five linoleum cut illustrations (including cover),2,0.0001609398889514766
706,ilustrated book with seventy-nine linoleum cuts,2,0.0001609398889514766
707,abs and acrylic plastic,2,0.0001609398889514766
708,polycarbonate,2,0.0001609398889514766
709,horn,2,0.0001609398889514766
710,laminated and carved avodire,2,0.0001609398889514766
711,"illustrated book with twelve lithographs (die-cut for possible removal), with china-marker and/or pencil additions",2,0.0001609398889514766
712,"steel armature, polyurethane foam, fiberfill, and wool upholstery",2,0.0001609398889514766
713,cut glass,2,0.0001609398889514766
714,ink drawing from an illustrated book with fourteen line blocks and one ink drawing,2,0.0001609398889514766
715,"aquatint, engraving, and drypoint from an illustrated book with thirty-one aquatints",2,0.0001609398889514766
716,charcoal and crayon on paper,2,0.0001609398889514766
717,book with letterpress illustrations,2,0.0001609398889514766
718,illustrated book with sixteen lithographs,2,0.0001609398889514766
719,illustrated book with 12 aquatints (nine with etching),2,0.0001609398889514766
720,copper,2,0.0001609398889514766
721,beech wood and cane,2,0.0001609398889514766
722,".1: enameled cast metal and cast iron base 
.2: chrome-plated metal",2,0.0001609398889514766
723,lift ground aquatint and aquatint over photogravure,2,0.0001609398889514766
724,deluxe and trade edition journals,2,0.0001609398889514766
725,austrian beechwood,2,0.0001609398889514766
726,illustrated book with 26 screenprints,2,0.0001609398889514766
727,"linoleum cut from an illustrated book with seven woodcuts, seven etchings (two with aquatint, one with engraving), six lithographs, three drypoints, two engravings, one aquatint, and one linoleum cut",2,0.0001609398889514766
728,"pencil, conte crayon on illustration board",2,0.0001609398889514766
729,"illustrated book with five line block reproductions after pen and ink drawings, four with gouache additions",2,0.0001609398889514766
730,molded wood top and steel rod legs,2,0.0001609398889514766
731,cotton and chenille,2,0.0001609398889514766
732,".a: hardwood, steel, and cast aluminum
.b-.c: steel
.d-.e: steel and wood",2,0.0001609398889514766
733,cut-and-pasted reproduction on photograph,2,0.0001609398889514766
734,illustrated book with eight photolithographs and three line block reproductions,2,0.0001609398889514766
735,illustrated book with eight lithographs,2,0.0001609398889514766
736,"acetate, polystyrene, and corundum granules",2,0.0001609398889514766
737,cover with photogravure lettering on front and back; 10 letterpress illustrations,2,0.0001609398889514766
738,"line-block reproduction (duplicate of title vignette) on front cover from an illustrated book with nine line-block reproductions after woodcuts, one line-block reproduction after woodcut title vignette, and one line-block reproduction (duplicate of title vignette) on front cover",2,0.0001609398889514766
739,dacron filled and resin soaked fiberglass cloth,2,0.0001609398889514766
740,cherry wood,2,0.0001609398889514766
741,"etching with pencil additions from an album of 16 etchings (one with aquatint, one with drypoint, one with pencil additions), three photogravures (two with etching), and one relief halftone",2,0.0001609398889514766
742,injection-molded abs and stamped and formed aluminum,2,0.0001609398889514766
743,"aquatint, drypoint, and engraving from an illustrated book with thirty-one aquatints",2,0.0001609398889514766
744,"etching, aquatint, and drypoint with roulette from an illustrated book with seven etchings (six with aquatint, five with drypoint, five with roulette, and two with photogravure)",2,0.0001609398889514766
745,fiberglass-reinforced plastic,2,0.0001609398889514766
746,"fiberglass-composite shell, plastic, and rubber",2,0.0001609398889514766
747,"drypoint from an illustrated book with seven woodcuts, seven etchings (two with aquatint, one with engraving), six lithographs, three drypoints, two engravings, one aquatint, and one linoleum cut",2,0.0001609398889514766
748,cover: letterpress; interior: offset lithograph,2,0.0001609398889514766
749,"book of lithographed illustrations with die-cut and an inset cast paper object, from a multi-volume artist's book",2,0.0001609398889514766
750,"linen, raffia, and cellophane",2,0.0001609398889514766
751,graphite on print,2,0.0001609398889514766
752,chromed steel and walnut,2,0.0001609398889514766
753,aluminum alloy and leather,2,0.0001609398889514766
754,linen and rayon,2,0.0001609398889514766
755,"aquatint, etching, drypoint, and engraving from an illustrated book with thirty-one aquatints",2,0.0001609398889514766
756,"lithograph from an illustrated book with three aquatints (one with etching), one drypoint, and one lithograph",2,0.0001609398889514766
757,vinyl-coated zinc and nickel-plated steel,2,0.0001609398889514766
758,glazed shigaraki-ware,2,0.0001609398889514766
759,white gold with enameled dial,2,0.0001609398889514766
760,"photogravure with hand additions from an illustrated book with four lithographs, one offset lithograph, one woodcut, one etching with aquatint, one photogravure with hand additions, and one record",2,0.0001609398889514766
761,"line-block reproduction after woodcut title vignette from an illustrated book with nine line-block reproductions after woodcuts, one line-block reproduction after woodcut title vignette, and one line-block reproduction (duplicate of title vignette) on front cover",2,0.0001609398889514766
762,cast bronze,2,0.0001609398889514766
763,brown paper cover with lithographed manuscript text and illustration mounted on front; 16 lithographed illustrations; lithographed manuscript text includes manuscript designs by kruchenykh,2,0.0001609398889514766
764,ink and pastel on paper,2,0.0001609398889514766
765,illustrated book with twenty-four lithographs,2,0.0001609398889514766
766,molded and cutout plywood and upholstery,2,0.0001609398889514766
767,walnut and limba wood,2,0.0001609398889514766
768,"aquatint and etching from an illustrated book with three aquatints (one with etching), one drypoint, and one lithograph",2,0.0001609398889514766
769,graphite and color pencil on paper,2,0.0001609398889514766
770,"portfolio of twenty-four aquatints (including wrapper and variant print) (five with etching, two with engraving, two with drypoint, and one with pastel additions) and one etching",2,0.0001609398889514766
771,crayon and graphite on tracing paper,2,0.0001609398889514766
772,"double cloth, gold gimp, saran, and plexiglass",2,0.0001609398889514766
773,".1: ink and graphite on paper
.2: ink and graphite on paper",2,0.0001609398889514766
774,".a: ink, ink wash, and cut-and-pasted printed pressure sensitive synthetic polymer sheets on board
.b: ink and cut-and-pasted printed pressure sensitive synthetic polymer sheets on acetate",2,0.0001609398889514766
775,illustrated book with fourteen line blocks and one ink drawing,2,0.0001609398889514766
776,illustrated book with four woodcuts with watercolor additions (including front cover),2,0.0001609398889514766
777,aluminum and cork,2,0.0001609398889514766
778,"aluminum, chromed steel, and rubber",2,0.0001609398889514766
779,airbrush and graphite on gelatin silver photograph mounted on foamcore,2,0.0001609398889514766
780,"jute, silk, cotton, and cellophane",2,0.0001609398889514766
781,enameled steel and linen,2,0.0001609398889514766
782,glazed grey earthenware,2,0.0001609398889514766
783,illustrated book with one hundred offset lithographs,2,0.0001609398889514766
784,4 lithographs,2,0.0001609398889514766
785,journal with two special edition projects,2,0.0001609398889514766
786,illustrated book with 5 reproductions: 2 photolithographs after gouaches; 2 line blocks after pen and ink drawings; and 1 photogravure with aquatint after pen and ink drawing,2,0.0001609398889514766
787,polyurethane plastic,2,0.0001609398889514766
788,"illustrated book with twenty line block reproductions after woodcuts, one line block reproduction after drawing on title page, and one line block reproduction after drawing (duplicate of title page) on front cover",2,0.0001609398889514766
789,printed polymer sheet with tape on lithograph,2,0.0001609398889514766
790,graphite and colored pencil on print,2,0.0001609398889514766
791,"polished die cast aluminum, painted tube, naugahyde padded with vinyl foam, and nylon glides",2,0.0001609398889514766
792,"ink, crayon, and colored pencil on vellum",2,0.0001609398889514766
793,electroplated silver and ebony,2,0.0001609398889514766
794,"cotton, jute, and metal foil",2,0.0001609398889514766
795,illustrated book with thirteen lithographs and one oil on paper drawing,2,0.0001609398889514766
796,"drypoint from an illustrated book with three aquatints (one with etching), one drypoint, and one lithograph",2,0.0001609398889514766
797,birch and glass,2,0.0001609398889514766
798,"cardboard, metal, and acrylic cover",2,0.0001609398889514766
799,syrene-butadiene-rubber and 18-8 stainless steel,2,0.0001609398889514766
800,polyester base and rayon pile,2,0.0001609398889514766
801,"abs polymer casing, clear styrene plastic bulb enclosure, and braided nylon wrist strap",2,0.0001609398889514766
802,"eiderdown, wool, rayon, and lurex",2,0.0001609398889514766
803,"cut-and-pasted gelatin silver photographs and photolithographs with ink, crayon, and felt-tipped pen on paper",2,0.0001609398889514766
804,offset lithograph on vacuum formed plastic,2,0.0001609398889514766
805,polyester and nylon,2,0.0001609398889514766
806,polished die-cast aluminum and maple plywood with malamine formaldehyde laminate,2,0.0001609398889514766
807,laminated birch and lacquered plywood,2,0.0001609398889514766
808,"fiberglass-reinforced polyester, steel, birch, and rubber shockmounts",2,0.0001609398889514766
809,lithograph?,2,0.0001609398889514766
810,nickel silver and ebony,2,0.0001609398889514766
811,beech,2,0.0001609398889514766
812,".a: ink and ink wash on paper 
.b: cut-and-pasted printed paper on tracing paper",2,0.0001609398889514766
813,graphite and colored pencil on cut-and-pasted papers on sepia diazoprint,2,0.0001609398889514766
814,illustrated book with forty-six line block reproductions after drawings (including covers),2,0.0001609398889514766
815,graphite and cut-and-pasted reproduction on illustration board,2,0.0001609398889514766
816,ink and crayon on vellum,2,0.0001609398889514766
817,clear plastic,2,0.0001609398889514766
818,book with three letterpress illustrations (including cover),2,0.0001609398889514766
819,"plastic, metal, plastic coated wires, and self-adhesive paper dots",2,0.0001609398889514766
820,chrome-plated tubular steel and leather,2,0.0001609398889514766
821,bent beechwood and sycamore panels,2,0.0001609398889514766
822,"illustrated book with 4 transfer lithographs, and supplementary suite",2,0.0001609398889514766
823,colored pencil on paper,2,0.0001609398889514766
824,"illustrated book with seven etchings (six with aquatint, five with drypoint, five with roulette, and two with photogravure)",2,0.0001609398889514766
825,illustrated book with five photolithographic reproductions after drawings (including variant on wrapper front),2,0.0001609398889514766
826,"polyurethane, stainless steel, and nylon",2,0.0001609398889514766
827,wood and paper,2,0.0001609398889514766
828,cover with letterpress illustrations by klutsis on front and back; 6 lithographed illustrations by siniakova,2,0.0001609398889514766
829,"offset lithograph with felt-tip pen, watercolor, gouache, colored crayon, and pencil additions from an illustrated book with eleven offset lithographs (some with rubber stamp, collage, pochoir, watercolor, gouache, crayon, felt-tip pen, ballpoint pen, and pencil additions), two lithographs, two etchings (one with aquatint), one screenprint, and fourteen offset lithograph reproductions",2,0.0001609398889514766
830,exhibition catalogue with line block and relief halftone reproductions,2,0.0001609398889514766
831,plastic with steel frame,2,0.0001609398889514766
832,illustrated book with seven etchings and one etching and engraving,2,0.0001609398889514766
833,"ink, crayon, and graphite on gelatin silver print, with self-adhesive paper dot",2,0.0001609398889514766
834,blown opalino glass,2,0.0001609398889514766
835,plastic and rubber,2,0.0001609398889514766
836,steel and brass,2,0.0001609398889514766
837,lacqured birch and enamelled birch plywood,2,0.0001609398889514766
838,graphite and cut-and-pasted reproduction (of unidentified scultpure) on illustration board,2,0.0001609398889514766
839,21 lithographs,2,0.0001609398889514766
840,"gold-anodized-aluminum machine-screw nuts, bolt nut, and spacers and leather stringing",2,0.0001609398889514766
841,"chrome-molybdenum steel, rubber, and polyurethane",2,0.0001609398889514766
842,jute and plastic thread,2,0.0001609398889514766
843,injection-molded abs polymer casing,2,0.0001609398889514766
844,".a: ink and wash on paper 
.b: ink on tracing paper",2,0.0001609398889514766
845,"lithographed collage, printed in color",2,0.0001609398889514766
846,book with lithographed cover and manuscript text,2,0.0001609398889514766
847,photograph on board,2,0.0001609398889514766
848,ink on paper with gouache,2,0.0001609398889514766
849,"7 lithographs (4 with etching, printed without ink), and 2 etchings (1 with aquatint)",2,0.0001609398889514766
850,illustrated book with twenty-four woodcuts,2,0.0001609398889514766
851,"illustrated book with one unbound lithograph (frontispiece), and photolithographic and line block reproductions after paintings and drawings",2,0.0001609398889514766
852,borosilicate glass and steel,2,0.0001609398889514766
853,"lumiline lamps, acrylic, and coated wire",2,0.0001609398889514766
854,illustrated book with seven linoleum cuts,2,0.0001609398889514766
855,hand-painted sculpted glass,2,0.0001609398889514766
856,lithograph in six colors,2,0.0001609398889514766
857,"etching, aquatint, and drypoint from an illustrated book with twelve etchings (two with aquatint, two with drypoint, one with aquatint and drypoint) and one drypoint",2,0.0001609398889514766
858,illustrated book with twenty-six lithographs (including four colophon pages),2,0.0001609398889514766
859,"painted metal, synthetic leather, and lead",2,0.0001609398889514766
860,"crayon, graphite, and colored pencil on tracing paper",2,0.0001609398889514766
861,abs polymer and stainless steel,2,0.0001609398889514766
862,ceramic,2,0.0001609398889514766
863,basswood and plexiglass,2,0.0001609398889514766
864,"basswood, styrene, plexiglass and homosote",2,0.0001609398889514766
865,"neoprene-coated aluminum shell, metal rods, and wood runners",2,0.0001609398889514766
866,illustrated book with four aquatints (three with etching),2,0.0001609398889514766
867,flashed and hand painted cut glass,2,0.0001609398889514766
868,cut-and-pasted photolithographs and gelatin silver photographs with ink and watercolor on paper,2,0.0001609398889514766
869,enameled steel and brass,2,0.0001609398889514766
870,ink on mylar,2,0.0001609398889514766
871,"graphite, pen, color pencil, ink, and gouache on tracing paper",2,0.0001609398889514766
872,illustrated book with three linoleum cuts,2,0.0001609398889514766
873,silver-plated pewter,2,0.0001609398889514766
874,"illustrated book with 39 drypoints (3 with woodcut, etching, or monotype), and 2 etchings",2,0.0001609398889514766
875,chrome-plated tubular steel and eisengarn fabric,2,0.0001609398889514766
876,"collage of cut-and-pasted reproductions, photograph, and paper on composition board",2,0.0001609398889514766
877,illustrated book with 13 etchings (including table of etchings); 67 wood engravings (cut by george aubert after picasso drawings); and 16 pages reproducing (lineblock) dot and line drawings,2,0.0001609398889514766
878,"polished die cast aluminum, black painted tube, tan leather cushions with polyester foam padding, and nylon glides",2,0.0001609398889514766
879,illustrated book with sixty-eight lithographs (including wrapper),2,0.0001609398889514766
880,molded plywood and polyester lacquer,2,0.0001609398889514766
881,etching from an illustrated book with three etchings,2,0.0001609398889514766
882,fiberglass-reinforced polyester,2,0.0001609398889514766
883,honeycomb kraft liner board,2,0.0001609398889514766
884,illustrated book with 100 xerox prints,2,0.0001609398889514766
885,chrome-plated tubular steel base and plastic laminated top,2,0.0001609398889514766
886,eps (expanded polystyrene) foam and lycra,2,0.0001609398889514766
887,swedish maple and fabric,2,0.0001609398889514766
888,cellophane and silk,2,0.0001609398889514766
889,ceramic and steel,2,0.0001609398889514766
890,woodcut from an illustrated book with twenty-nine linoleum cuts (two with pochoir and two with letterpress) and seven woodcuts,2,0.0001609398889514766
891,"enameled steel, leather, foam, and wood",2,0.0001609398889514766
892,"laminated birch, linoleum, and rubber",2,0.0001609398889514766
893,"polycarbonate and abs plastics, and stainless steel",2,0.0001609398889514766
894,twelve drawings and thirteen photographs,2,0.0001609398889514766
895,teak,2,0.0001609398889514766
896,wrapper with linoleum cut illustration on front and inside of front; 27 linoleum cut illustrations,2,0.0001609398889514766
897,book with three letterpress illustrations (including covers),2,0.0001609398889514766
898,acrylic resin,2,0.0001609398889514766
899,"artist's book. offset lithograph, thirty-two pages",2,0.0001609398889514766
900,watercolor and india ink on paper,2,0.0001609398889514766
901,cast iron fireplace and marble surrounds,2,0.0001609398889514766
902,"ink and crayon on printed tracing paper, with ink stamp",2,0.0001609398889514766
903,stoneware,2,0.0001609398889514766
904,screenprint on colored acetate set into embossed and die-cut paper,2,0.0001609398889514766
905,"illustrated book with seven lithographs, and phonograph record of ezra pound reading the text",2,0.0001609398889514766
906,illustrated book with thirty etchings (including supplementary plate),2,0.0001609398889514766
907,"porcelain (stoneware reduction, ash glaze)",2,0.0001609398889514766
908,book with 14 letterpress illustrations,2,0.0001609398889514766
909,"silver, enamel, and sapphires",2,0.0001609398889514766
910,illustrated book with one etching and drypoint,2,0.0001609398889514766
